subgenome,condition,panel_type,sample_id,analysis_group,PC1,PC2,PC3,PC4,PC5
sgC,priority_seed_20250417_12000,arabica_only,15,arabica_wild,-16.61209932820918,13.61856152555914,8.429971957521165,-4.910878407427294,19.6052759116563
sgC,priority_seed_20250417_12000,arabica_only,16,arabica_introgressed,24.04192057049977,-73.47189845170104,-1.042156420659998,65.55912346924522,4.531532758293707
sgC,priority_seed_20250417_12000,arabica_only,17_BMJM,arabica_cultivated,-15.092657687415,9.353076064240662,-0.4293484656978906,-0.07923873721567501,-6.805966301606526
sgC,priority_seed_20250417_12000,arabica_only,18_E123,arabica_wild,-14.82400980168926,12.27886287382667,4.933523927405758,-3.855593100378631,10.12961613742726
sgC,priority_seed_20250417_12000,arabica_only,19_E237,arabica_wild,-16.38974849099353,14.31051353168746,5.866149459408415,-4.145042138261864,16.47061179221333
sgC,priority_seed_20250417_12000,arabica_only,20_E261,arabica_wild,-15.14560382978192,12.06904513077325,3.328138053798718,-3.221197059864736,6.002972991863987
sgC,priority_seed_20250417_12000,arabica_only,21_E383,arabica_wild,-17.00859933648687,13.3873314873317,5.082401058033854,-3.7281487615722,13.61581675060192
sgC,priority_seed_20250417_12000,arabica_only,22_E516,arabica_wild,-15.99226324481905,10.58992329468733,1.226120083695431,-1.715575717298915,0.773627109595824
sgC,priority_seed_20250417_12000,arabica_only,23_Erecta,arabica_cultivated,-14.94873305199282,7.557208572327978,-2.419405473849586,0.8501313580450047,-12.07442481479167
sgC,priority_seed_20250417_12000,arabica_only,24_ET59,arabica_wild,-16.22345027179959,12.43356893071089,4.029506569883233,-3.830512006634546,7.90974697532924
sgC,priority_seed_20250417_12000,arabica_only,25_JK1,arabica_cultivated,-15.54935419045555,10.3171929346711,-0.799657478066732,-0.0842826444128095,-9.300228126005708
sgC,priority_seed_20250417_12000,arabica_only,26_Moka,arabica_cultivated,-15.47689756502924,9.537398728875791,-2.755783020774377,2.899284730621064,-13.51717436595879
sgC,priority_seed_20250417_12000,arabica_only,27_Rubi,arabica_cultivated,-15.36923548684348,8.83043019164782,-4.317892124815941,2.537278058509262,-12.92032097006899
sgC,priority_seed_20250417_12000,arabica_only,28_Topazio,arabica_cultivated,-15.11434651937814,8.619730243189828,-4.049634513894625,2.830342442712774,-13.42671323782939
sgC,priority_seed_20250417_12000,arabica_only,29_CostaRica95,arabica_introgressed,11.12098441390581,-52.97101799220862,-68.29034499183197,-0.7064910778775876,2.77598365758027
sgC,priority_seed_20250417_12000,arabica_only,30_OroAzteca,arabica_introgressed,35.43069416361485,-97.47866679234411,-85.82584237965844,-48.56604715725104,8.95860731399723
sgC,priority_seed_20250417_12000,arabica_only,31_ArabustaPizze,arabica_introgressed,309.3570152861149,90.0448183514345,-10.06143654910573,5.928126151177063,1.924086953025549
sgC,priority_seed_20250417_12000,arabica_only,32_Bourbonpointu,arabica_cultivated,-14.90642926316869,9.06085599891891,-3.633429854353116,2.711420847724277,-13.3734463148691
sgC,priority_seed_20250417_12000,arabica_only,37_Catuai99,arabica_cultivated,-15.05965886056887,9.126489942161609,-3.10577403643684,3.24177181850273,-12.13358202524934
sgC,priority_seed_20250417_12000,arabica_only,38_Et38C3,arabica_wild,-16.51031827513773,11.90773231654158,3.908860909193995,-2.728437185998549,3.57090066719688
sgC,priority_seed_20250417_12000,arabica_only,39_Guatemalense,arabica_cultivated,-15.20851682211678,8.795751695038744,-3.033542076651452,2.597430354176522,-12.63661190360516
sgC,priority_seed_20250417_12000,arabica_only,LINN32,arabica_wild,-10.16725155993786,9.450666878373209,2.954580624581775,1.639180635307086,-78.75867492713718
sgC,priority_seed_20250417_12000,arabica_only,Amsterdam,arabica_cultivated,-14.51169831608649,10.21530188796748,-2.836127692942234,3.949130371667435,-15.96847841125765
sgC,priority_seed_20250417_12000,arabica_only,BB1,arabica_cultivated,-15.24517484664244,8.937963087556339,-3.993405873708523,2.488564123866454,-12.62480881352813
sgC,priority_seed_20250417_12000,arabica_only,TIP1,arabica_cultivated,-14.63079142371513,8.056140858869243,-3.244515656603036,1.40877643801979,-13.43115870022592
sgC,priority_seed_20250417_24000,full_panel,1,arabica_wild,-41.55265506982651,8.190720898513463,18.88323647952897,1.219038190085874,5.448428470245563
sgC,priority_seed_20250417_24000,full_panel,2,arabica_wild,-42.45241156546521,9.59219806411731,18.5809242570636,0.3567455343520572,5.554104592048845
sgC,priority_seed_20250417_24000,full_panel,3,arabica_wild,-41.24188926114319,8.730276374124797,18.85247273461188,1.528834173876425,6.086953465585726
sgC,priority_seed_20250417_24000,full_panel,4,arabica_wild,-41.6711552860742,9.883229169494067,18.70610300955327,1.453252821418334,6.821940317954287
sgC,priority_seed_20250417_24000,full_panel,5,arabica_wild,-42.0814822513059,9.561130119734385,17.5541885623464,0.7399294737125188,5.669939092296595
sgC,priority_seed_20250417_24000,full_panel,6,arabica_wild,-41.88978128390471,9.13193799363484,19.24543016992843,1.542668442107138,6.458479645848149
